Exp, Mean, Var, Tau, Temp, Mixtures, conv1_val, conv1_sp, conv2_val, conv2_sp, fc1_val, fc1_sp, fc2_val, fc_2sp, Test Acc, Val Acc
78, 57.254878843583896, 0.7153065263490955, 7.448525561565191e-05, 13, 9, 74.58, 64.0, 46.34, 64.0, 89.83, 82.54372501998401, 9.91, 0.0, 9.8, 9.91
79, 0.0018105582430271226, 1.283507579041475, 7.448525561565191e-05, 13, 9, 10.09, 0.0, 10.09, 0.0, 95.74, 90.58912869704237, 94.49, 94.05189620758483, 9.8, 9.91
80, 0.0018105582430271226, 0.7153065263490955, 9.284818905068834e-07, 13, 9, 10.09, 0.0, 10.09, 0.0, 10.09, 96.93445243804956, 9.91, 0.0, 9.8, 9.91
81, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 2, 9, 10.09, 0.0, 10.09, 0.0, 95.76, 90.49080735411671, 94.5, 93.91217564870259, 9.8, 9.91
82, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 13, 15, 10.09, 0.0, 10.09, 0.0, 10.09, 74.15907274180655, 94.32, 94.05189620758483, 9.8, 9.91
83, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 13, 9, 10.09, 0.0, 10.09, 0.0, 95.71, 90.67705835331734, 94.51, 94.05189620758483, 9.8, 9.91
84, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 12, 8, 10.09, 0.0, 10.09, 0.0, 87.83, 97.45115907274182, 94.59, 94.29141716566866, 9.8, 9.91
85, 18.105582430271244, 405.88073438596575, 0.00029361175402208234, 12, 8, 10.09, 0.0, 10.09, 0.0, 87.51, 97.45835331734612, 95.25, 94.19161676646706, 9.8, 9.91
86, 0.0057254878843583795, 226.19978484463883, 0.00029361175402208234, 12, 8, 10.09, 0.0, 10.09, 0.0, 87.81, 97.45627498001599, 94.59, 94.29141716566866, 9.8, 9.91
87, 0.0057254878843583795, 405.88073438596575, 2.3554305984530715e-07, 12, 8, 38.05, 6.0, 10.09, 6.0, 10.09, 96.93429256594725, 74.54, 84.750499001996, 9.8, 9.91
88, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 4, 8, 10.09, 0.0, 10.09, 0.0, 88.04, 97.45675459632294, 94.61, 94.27145708582835, 9.8, 9.91
89, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 12, 16, 10.09, 0.0, 10.09, 0.0, 10.09, 0.0, 94.43, 94.27145708582835, 9.8, 9.91
90, 0.0057254878843583795, 226.19978484463883, 2.3554305984530715e-07, 4, 16, 10.09, 0.0, 10.09, 0.0, 10.09, 96.52486011191047, 92.46, 0.0, 9.8, 9.91
91, 18.105582430271244, 405.88073438596575, 2.3554305984530715e-07, 4, 16, 10.09, 0.0, 10.09, 0.0, 10.09, 96.20159872102319, 91.17, 0.0, 9.8, 9.91
92, 18.105582430271244, 226.19978484463883, 0.00029361175402208234, 4, 16, 10.09, 0.0, 71.14, 0.0, 87.67, 97.40063948840927, 94.34, 94.17165668662675, 9.8, 9.91
93, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 12, 16, 37.56, 0.0, 42.36, 0.0, 38.17, 96.35651478816946, 85.54, 77.84431137724552, 8.06, 8.27
94, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 4, 8, 41.57, 7.384615384615385, 48.18, 7.384615384615385, 21.92, 96.46858513189449, 95.3, 65.8882235528942, 10.1, 10.49
95, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 4, 16, 37.56, 0.0, 42.2, 0.0, 37.99, 96.35219824140687, 92.68, 0.0, 9.91, 10.2
96, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 10, 11, 32.89, 0.0, 10.09, 0.0, 10.09, 96.8908073541167, 69.52, 84.09181636726547, 9.8, 9.91
97, 0.10181517217181825, 0.8956708445545833, 1.7742852308703055e-08, 10, 11, 39.47, 0.0, 10.09, 0.0, 10.09, 96.55731414868104, 73.11, 78.64271457085829, 9.8, 9.91
98, 0.0032196784442513784, 5764.241761132214, 1.7742852308703055e-08, 10, 11, 32.88, 0.0, 10.09, 0.0, 10.09, 96.90311750599521, 70.69, 83.73253493013972, 9.8, 9.91
99, 0.0032196784442513784, 0.8956708445545833, 0.00010673830759454255, 10, 11, 10.09, 0.0, 10.09, 0.0, 29.12, 0.0, 94.61, 94.05189620758483, 9.74, 10.09
100, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 2, 11, 32.89, 0.0, 10.09, 0.0, 10.09, 96.89144684252598, 94.31, 0.0, 9.8, 9.91
101, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 10, 8, 44.58, 4.461538461538462, 10.09, 4.461538461538462, 10.09, 97.05675459632293, 79.85, 84.87025948103792, 9.8, 9.91
102, 0.0032196784442513784, 5764.241761132214, 0.00010673830759454255, 2, 8, 10.09, 0.0, 10.09, 0.0, 90.83, 91.97841726618705, 94.48, 93.95209580838323, 9.8, 9.91
103, 0.10181517217181825, 0.8956708445545833, 0.00010673830759454255, 2, 8, 10.09, 0.0, 10.09, 0.0, 90.79, 92.03213429256594, 94.89, 93.85229540918164, 9.8, 9.91
104, 0.10181517217181825, 5764.241761132214, 1.7742852308703055e-08, 2, 8, 44.63, 4.615384615384616, 10.09, 4.615384615384616, 10.09, 97.07178257394085, 94.69, 45.10978043912176, 9.8, 9.91
105, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 10, 8, 10.09, 0.0, 10.09, 0.0, 90.93, 91.96434852118304, 94.61, 94.05189620758483, 9.8, 9.91
106, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 2, 11, 10.09, 0.0, 10.09, 0.0, 28.73, 0.0, 94.61, 93.91217564870259, 9.8, 9.91
107, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 2, 8, 10.09, 0.0, 10.09, 0.0, 90.76, 91.9726618705036, 94.48, 93.9321357285429, 9.8, 9.91
108, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 20, 4, 32.02, 25.23076923076923, 68.43, 25.23076923076923, 65.58, 97.26954436450839, 95.6, 93.85229540918164, 9.7, 9.95
109, 1018.1517217181843, 283.23599025991047, 5.6107825483478675e-06, 20, 4, 30.94, 52.0, 89.59, 52.0, 15.71, 99.52885691446842, 81.9, 96.62674650698602, 9.8, 9.91
110, 32.19678444251381, 18.228132949038027, 5.6107825483478675e-06, 20, 4, 28.97, 24.76923076923077, 36.71, 24.76923076923077, 64.41, 95.27721822541967, 9.91, 0.0, 9.8, 9.91
111, 32.19678444251381, 283.23599025991047, 3.375361655904018e-07, 20, 4, 37.84, 15.384615384615385, 72.08, 15.384615384615385, 76.67, 97.1505995203837, 86.53, 82.21556886227545, 6.89, 6.89
112, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 12, 4, 32.02, 25.23076923076923, 68.45, 25.23076923076923, 65.47, 97.27593924860112, 93.05, 93.23353293413173, 7.87, 7.9
113, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 20, 15, 30.29, 0.0, 46.09, 0.0, 53.46, 96.19680255795365, 94.01, 93.97205588822355, 9.7, 9.62
114, 32.19678444251381, 18.228132949038027, 3.375361655904018e-07, 12, 15, 38.2, 0.0, 25.09, 0.0, 43.38, 93.35539568345324, 64.85, 57.36526946107784, 9.68, 9.78
115, 1018.1517217181843, 283.23599025991047, 3.375361655904018e-07, 12, 15, 32.61, 25.846153846153847, 97.02, 25.846153846153847, 89.31, 98.1005595523581, 82.66, 88.94211576846307, 13.21, 13.3
116, 1018.1517217181843, 18.228132949038027, 5.6107825483478675e-06, 12, 15, 30.92, 37.53846153846154, 96.59, 37.53846153846154, 83.42, 98.6044764188649, 80.83, 95.78842315369262, 10.52, 10.87
117, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 20, 15, 32.71, 25.846153846153847, 96.98, 25.846153846153847, 89.84, 98.0732214228617, 84.33, 86.04790419161677, 13.1, 12.83
118, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 12, 4, 23.92, 43.53846153846154, 88.01, 43.53846153846154, 18.14, 99.55939248601119, 68.65, 96.16766467065868, 9.96, 10.11
119, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 12, 15, 32.72, 25.846153846153847, 97.05, 25.846153846153847, 90.03, 98.0697042366107, 82.59, 89.00199600798403, 13.28, 13.3
120, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 5, 8, 21.15, 40.46153846153846, 91.45, 40.46153846153846, 81.22, 99.08361310951238, 85.6, 89.46107784431138, 16.13, 17.17
121, 10.181517217181838, 15.927530210435883, 3.155174893592822e-07, 5, 8, 38.87, 5.6923076923076925, 10.57, 5.6923076923076925, 30.06, 94.90711430855315, 91.09, 60.359281437125745, 9.81, 9.91
122, 3219.6784442513826, 324.14713506726395, 3.155174893592822e-07, 5, 8, 21.27, 40.15384615384615, 92.16, 40.15384615384615, 82.07, 99.0855315747402, 84.96, 89.56087824351297, 16.59, 17.48
123, 3219.6784442513826, 15.927530210435883, 1.898105346577759e-08, 5, 8, 21.5, 38.92307692307692, 92.7, 38.92307692307692, 81.05, 99.03725019984013, 89.52, 89.06187624750498, 16.65, 16.82
124, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 16, 8, 21.23, 40.46153846153846, 92.39, 40.46153846153846, 80.94, 99.08073541167066, 72.73, 93.27345309381238, 6.83, 7.78
125, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 5, 12, 24.0, 34.0, 95.72, 34.0, 91.14, 98.5982414068745, 85.46, 92.75449101796407, 14.73, 15.5
126, 3219.6784442513826, 324.14713506726395, 1.898105346577759e-08, 16, 12, 22.36, 31.538461538461537, 96.84, 31.538461538461537, 93.06, 97.37697841726619, 76.03, 75.48902195608783, 18.62, 18.5
127, 10.181517217181838, 15.927530210435883, 1.898105346577759e-08, 16, 12, 50.21, 0.0, 12.51, 0.0, 67.09, 94.88537170263788, 84.39, 65.40918163672654, 9.91, 10.0
128, 10.181517217181838, 324.14713506726395, 3.155174893592822e-07, 16, 12, 10.09, 0.0, 10.09, 0.0, 10.09, 96.50455635491608, 64.6, 83.01397205588822, 9.8, 9.91
129, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 5, 12, 32.82, 0.0, 10.09, 0.0, 10.09, 96.72549960031974, 82.92, 56.82634730538923, 9.58, 9.67
130, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 16, 8, 44.61, 4.461538461538462, 10.09, 4.461538461538462, 10.09, 96.9769784172662, 83.81, 84.31137724550898, 9.8, 9.91
131, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 16, 12, 32.82, 0.0, 10.09, 0.0, 10.09, 96.72757793764988, 72.82, 82.83433133732535, 9.8, 9.91
132, 0.32196784442513826, 5036.727296611839, 9.977539079932735e-05, 15, 15, 10.09, 0.0, 10.09, 0.0, 29.7, 0.0, 94.45, 94.03193612774452, 9.74, 10.09
133, 0.001018151721718182, 5036.727296611839, 9.977539079932735e-05, 15, 15, 10.09, 0.0, 10.09, 0.0, 29.72, 0.0, 94.45, 94.03193612774452, 9.74, 10.09
134, 0.32196784442513826, 1.0250432438307915, 9.977539079932735e-05, 15, 15, 10.09, 0.0, 10.09, 0.0, 29.33, 0.0, 93.54, 94.07185628742515, 9.8, 9.91
135, 0.32196784442513826, 5036.727296611839, 6.0023361341290125e-06, 15, 15, 10.09, 0.0, 10.09, 0.0, 10.09, 96.86458832933653, 93.57, 93.13373253493013, 9.8, 9.91
136, 0.32196784442513826, 5036.727296611839, 9.977539079932735e-05, 7, 15, 10.09, 0.0, 10.09, 0.0, 29.49, 0.0, 94.49, 94.05189620758483, 9.8, 9.91
