Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
49, 1810.5582430271252, 22.824351004383605, 5.2212373672288026e-08, 7, 5, 90.92, 91.74, 0.0, 3.555378467315114
50, 0.5725487884358382, 12.720148676730615, 5.2212373672288026e-08, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
51, 0.5725487884358382, 22.824351004383605, 1.3245559641279942e-08, 7, 5, 95.77, 95.98, 0.0, 3.555378467315114
52, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 9, 5, 9.8, 9.91, 100.0, 127.7645406466929
53, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 7, 12, 9.8, 9.91, 100.0, 114.86473500128504
54, 0.5725487884358382, 12.720148676730615, 1.3245559641279942e-08, 9, 12, 9.8, 9.91, 0.0, 3.199745000554076
55, 1810.5582430271252, 22.824351004383605, 1.3245559641279942e-08, 9, 12, 93.18, 92.81, 0.0, 3.199745000554076
56, 1810.5582430271252, 12.720148676730615, 5.2212373672288026e-08, 9, 12, 91.35, 91.83, 0.0, 3.199745000554076
57, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 7, 12, 94.27, 93.97, 0.0, 3.199745000554076
58, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 9, 5, 48.75, 49.7, 0.0, 3.555378467315114
59, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 9, 12, 90.82, 90.42, 0.0, 3.199745000554076
60, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 17, 12, 24.59, 24.12, 0.0, 3.199745000554076
61, 0.18105582430271236, 7217.693528900402, 1.6511002284824024e-05, 17, 12, 5.57, 5.35, 97.88266973819381, 78.25573251317032
62, 5725.487884358392, 4022.464199444558, 1.6511002284824024e-05, 17, 12, 22.43, 22.43, 0.0, 3.199745000554076
63, 5725.487884358392, 7217.693528900402, 4.18861373500475e-06, 17, 12, 71.33, 70.63, 0.0, 3.199745000554076
64, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 18, 12, 26.63, 26.39, 0.0, 3.199745000554076
65, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 17, 5, 13.76, 13.35, 0.0, 3.555378467315114
66, 5725.487884358392, 4022.464199444558, 4.18861373500475e-06, 18, 5, 34.63, 35.82, 0.0, 3.555378467315114
67, 0.18105582430271236, 7217.693528900402, 4.18861373500475e-06, 18, 5, 9.8, 9.91, 100.0, 127.7645406466929
68, 0.18105582430271236, 4022.464199444558, 1.6511002284824024e-05, 18, 5, 9.8, 9.91, 100.0, 127.7645406466929
69, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 17, 5, 9.8, 9.91, 100.0, 127.7645406466929
70, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 18, 12, 52.85, 53.59, 97.68654857889986, 74.62276135926417
71, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 18, 5, 9.8, 9.91, 100.0, 127.7645406466929
72, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 2, 15, 94.5, 94.56, 0.0, 3.1996971926823226
73, 0.0018105582430271226, 1.283507579041475, 9.284818905068834e-07, 2, 15, 9.8, 9.91, 100.0, 114.80315840025017
74, 57.254878843583896, 0.7153065263490955, 9.284818905068834e-07, 2, 15, 92.84, 93.31, 0.0, 3.1996971926823226
75, 57.254878843583896, 1.283507579041475, 7.448525561565191e-05, 2, 15, 17.63, 18.62, 97.9869563863898, 79.77524950719419
76, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 13, 15, 93.38, 93.8, 0.0, 3.1996971926823226
77, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 2, 9, 92.55, 92.72, 0.0, 3.1997928098544812
78, 57.254878843583896, 0.7153065263490955, 7.448525561565191e-05, 13, 9, 18.13, 18.93, 97.99069202751922, 79.8874666791013
79, 0.0018105582430271226, 1.283507579041475, 7.448525561565191e-05, 13, 9, 9.8, 9.91, 97.89932447156244, 78.62264136512088
80, 0.0018105582430271226, 0.7153065263490955, 9.284818905068834e-07, 13, 9, 85.73, 86.75, 97.43859539893535, 70.2943931944226
81, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 2, 9, 9.8, 9.91, 97.89932447156244, 78.65272049765481
82, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 13, 15, 9.87, 9.92, 97.89963577498987, 78.60700930648702
83, 0.0018105582430271226, 0.7153065263490955, 7.448525561565191e-05, 13, 9, 9.8, 9.91, 97.9008809886997, 78.68583413708109
84, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 12, 8, 9.8, 9.91, 100.0, 127.68836137559236
85, 18.105582430271244, 405.88073438596575, 0.00029361175402208234, 12, 8, 9.8, 9.91, 100.0, 127.68836137559236
86, 0.0057254878843583795, 226.19978484463883, 0.00029361175402208234, 12, 8, 9.8, 9.91, 100.0, 127.68836137559236
87, 0.0057254878843583795, 405.88073438596575, 2.3554305984530715e-07, 12, 8, 9.8, 9.91, 100.0, 127.68836137559236
88, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 4, 8, 9.8, 9.91, 100.0, 127.68836137559236
89, 0.0057254878843583795, 405.88073438596575, 0.00029361175402208234, 12, 16, 9.79, 10.2, 97.90508358497027, 78.68764113752057
90, 0.0057254878843583795, 226.19978484463883, 2.3554305984530715e-07, 4, 16, 9.8, 9.91, 100.0, 114.78264753503434
91, 18.105582430271244, 405.88073438596575, 2.3554305984530715e-07, 4, 16, 9.8, 9.91, 100.0, 114.78264753503434
92, 18.105582430271244, 226.19978484463883, 0.00029361175402208234, 4, 16, 20.01, 20.12, 97.90492793325654, 78.67860696517413
93, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 12, 16, 9.8, 9.91, 100.0, 114.78264753503434
94, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 4, 8, 9.8, 9.91, 100.0, 127.68836137559236
95, 18.105582430271244, 226.19978484463883, 2.3554305984530715e-07, 4, 16, 9.8, 9.91, 100.0, 114.78264753503434
96, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 10, 11, 97.15, 97.15, 0.0, 3.199760936828802
97, 0.10181517217181825, 0.8956708445545833, 1.7742852308703055e-08, 10, 11, 9.8, 9.91, 0.0, 3.199760936828802
98, 0.0032196784442513784, 5764.241761132214, 1.7742852308703055e-08, 10, 11, 9.8, 9.91, 0.0, 3.199760936828802
99, 0.0032196784442513784, 0.8956708445545833, 0.00010673830759454255, 10, 11, 9.8, 9.91, 97.89667839242911, 78.61241970021413
100, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 2, 11, 9.8, 9.91, 0.0, 3.199760936828802
101, 0.0032196784442513784, 0.8956708445545833, 1.7742852308703055e-08, 10, 8, 96.69, 96.66, 0.0, 3.555319441821599
102, 0.0032196784442513784, 5764.241761132214, 0.00010673830759454255, 2, 8, 9.8, 9.91, 100.0, 127.68836137559236
103, 0.10181517217181825, 0.8956708445545833, 0.00010673830759454255, 2, 8, 9.8, 9.91, 100.0, 127.68836137559236
104, 0.10181517217181825, 5764.241761132214, 1.7742852308703055e-08, 2, 8, 96.96, 96.8, 0.0, 3.555319441821599
105, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 10, 8, 9.8, 9.91, 100.0, 127.68836137559236
106, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 2, 11, 9.8, 9.91, 97.89698969585655, 78.6334672021419
107, 0.10181517217181825, 5764.241761132214, 0.00010673830759454255, 2, 8, 9.8, 9.91, 100.0, 127.68836137559236
108, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 20, 4, 9.8, 9.91, 100.0, 143.7351082275295
109, 1018.1517217181843, 283.23599025991047, 5.6107825483478675e-06, 20, 4, 62.87, 62.77, 0.0, 3.9998007757295033
110, 32.19678444251381, 18.228132949038027, 5.6107825483478675e-06, 20, 4, 9.8, 9.91, 100.0, 143.7351082275295
111, 32.19678444251381, 283.23599025991047, 3.375361655904018e-07, 20, 4, 87.38, 88.52, 0.0, 3.9998007757295033
112, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 12, 4, 9.8, 9.91, 100.0, 143.7351082275295
113, 32.19678444251381, 283.23599025991047, 5.6107825483478675e-06, 20, 15, 9.8, 9.91, 100.0, 114.80315840025017
114, 32.19678444251381, 18.228132949038027, 3.375361655904018e-07, 12, 15, 89.84, 91.14, 0.0, 3.1996971926823226
115, 1018.1517217181843, 283.23599025991047, 3.375361655904018e-07, 12, 15, 91.21, 91.4, 0.0, 3.1996971926823226
116, 1018.1517217181843, 18.228132949038027, 5.6107825483478675e-06, 12, 15, 82.69, 82.82, 0.0, 3.1996971926823226
117, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 20, 15, 95.49, 95.71, 0.0, 3.1996971926823226
118, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 12, 4, 89.6, 90.54, 0.0, 3.9998007757295033
119, 1018.1517217181843, 18.228132949038027, 3.375361655904018e-07, 12, 15, 96.61, 96.45, 0.0, 3.1996971926823226
120, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 5, 8, 96.21, 95.9, 0.0, 3.555319441821599
121, 10.181517217181838, 15.927530210435883, 3.155174893592822e-07, 5, 8, 9.8, 9.91, 100.0, 127.68836137559236
122, 3219.6784442513826, 324.14713506726395, 3.155174893592822e-07, 5, 8, 94.22, 94.12, 0.0, 3.555319441821599
123, 3219.6784442513826, 15.927530210435883, 1.898105346577759e-08, 5, 8, 54.98, 56.64, 0.0, 3.555319441821599
124, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 16, 8, 95.2, 95.07, 0.0, 3.555319441821599
125, 3219.6784442513826, 15.927530210435883, 3.155174893592822e-07, 5, 12, 96.56, 96.74, 0.0, 3.199745000554076
126, 3219.6784442513826, 324.14713506726395, 1.898105346577759e-08, 16, 12, 88.5, 88.59, 0.0, 3.199745000554076
127, 10.181517217181838, 15.927530210435883, 1.898105346577759e-08, 16, 12, 97.06, 97.22, 0.0, 3.199745000554076
128, 10.181517217181838, 324.14713506726395, 3.155174893592822e-07, 16, 12, 9.8, 9.91, 100.0, 114.86473500128504
129, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 5, 12, 9.8, 9.91, 0.0, 3.199745000554076
130, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 16, 8, 96.86, 96.75, 0.0, 3.555319441821599
131, 10.181517217181838, 324.14713506726395, 1.898105346577759e-08, 16, 12, 9.8, 9.91, 0.0, 3.199745000554076
132, 0.32196784442513826, 5036.727296611839, 9.977539079932735e-05, 15, 15, 9.8, 9.91, 97.90041403355852, 78.63106120294655
133, 0.001018151721718182, 5036.727296611839, 9.977539079932735e-05, 15, 15, 5.83, 6.19, 97.89979142670362, 78.60700930648702
134, 0.32196784442513826, 1.0250432438307915, 9.977539079932735e-05, 15, 15, 9.73, 9.03, 97.89590013386047, 78.56195163706398
135, 0.32196784442513826, 5036.727296611839, 6.0023361341290125e-06, 15, 15, 42.79, 42.63, 97.84235594433895, 77.42872422961908
136, 0.32196784442513826, 5036.727296611839, 9.977539079932735e-05, 7, 15, 6.53, 6.58, 97.89963577498987, 78.60700930648702
137, 0.32196784442513826, 5036.727296611839, 9.977539079932735e-05, 15, 5, 9.8, 9.91, 100.0, 127.7645406466929
138, 0.32196784442513826, 1.0250432438307915, 6.0023361341290125e-06, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
139, 0.001018151721718182, 5036.727296611839, 6.0023361341290125e-06, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
140, 0.001018151721718182, 1.0250432438307915, 9.977539079932735e-05, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
141, 0.001018151721718182, 1.0250432438307915, 6.0023361341290125e-06, 15, 5, 9.8, 9.91, 100.0, 127.7645406466929
142, 0.001018151721718182, 1.0250432438307915, 6.0023361341290125e-06, 7, 15, 45.9, 45.8, 97.82227687326838, 77.01683537001101
143, 0.001018151721718182, 1.0250432438307915, 6.0023361341290125e-06, 7, 5, 9.8, 9.91, 100.0, 127.7645406466929
144, 3.2196784442513833, 3.7770126337159313, 2.3660473821364086e-05, 13, 16, 22.8, 22.55, 97.89154188587617, 78.42648966201267
145, 1.0181517217181826, 3.7770126337159313, 2.3660473821364086e-05, 13, 16, 16.03, 16.12, 97.89543317871929, 78.48037868376852
146, 3.2196784442513833, 76.86739928640672, 2.3660473821364086e-05, 13, 16, 10.09, 10.37, 97.9008809886997, 78.55834925487198
147, 3.2196784442513833, 3.7770126337159313, 8.004243877909391e-08, 13, 16, 9.8, 9.91, 100.0, 114.78264753503434
148, 3.2196784442513833, 3.7770126337159313, 2.3660473821364086e-05, 19, 16, 22.22, 22.77, 97.89340970644088, 78.44743770748273
149, 3.2196784442513833, 3.7770126337159313, 2.3660473821364086e-05, 13, 14, 14.18, 14.17, 97.8874949413193, 78.40674889209248
150, 3.2196784442513833, 76.86739928640672, 8.004243877909391e-08, 19, 14, 9.8, 9.91, 100.0, 114.82367659707562
151, 1.0181517217181826, 3.7770126337159313, 8.004243877909391e-08, 19, 14, 9.8, 9.91, 100.0, 114.82367659707562
152, 1.0181517217181826, 76.86739928640672, 2.3660473821364086e-05, 19, 14, 9.8, 9.91, 97.88484886218598, 78.32609457626602
153, 1.0181517217181826, 76.86739928640672, 8.004243877909391e-08, 13, 14, 9.8, 9.91, 100.0, 114.82367659707562
154, 1.0181517217181826, 76.86739928640672, 8.004243877909391e-08, 19, 16, 9.8, 9.91, 100.0, 114.78264753503434
155, 1.0181517217181826, 76.86739928640672, 8.004243877909391e-08, 19, 14, 9.8, 9.91, 100.0, 114.82367659707562
156, 32196.78444251386, 1194.3962673773635, 7.482098779429834e-08, 3, 9, 38.12, 37.5, 0.0, 3.1997928098544812
157, 10181.517217181854, 1194.3962673773635, 7.482098779429834e-08, 3, 9, 57.56, 59.05, 0.0, 3.1997928098544812
158, 32196.78444251386, 0.2430760595586467, 7.482098779429834e-08, 3, 9, 32.89, 33.74, 0.0, 3.1997928098544812
159, 32196.78444251386, 1194.3962673773635, 2.5311641601652367e-05, 3, 9, 11.63, 11.89, 0.0, 3.1997928098544812
160, 32196.78444251386, 1194.3962673773635, 7.482098779429834e-08, 9, 9, 40.36, 40.7, 0.0, 3.1997928098544812
161, 32196.78444251386, 1194.3962673773635, 7.482098779429834e-08, 3, 7, 16.05, 15.75, 0.0, 3.5553391167683412
162, 32196.78444251386, 0.2430760595586467, 2.5311641601652367e-05, 9, 7, 11.89, 12.58, 0.0, 3.5553391167683412
163, 10181.517217181854, 1194.3962673773635, 2.5311641601652367e-05, 9, 7, 22.57, 23.45, 0.0, 3.5553391167683412
164, 10181.517217181854, 0.2430760595586467, 7.482098779429834e-08, 9, 7, 45.52, 45.87, 0.0, 3.5553391167683412
165, 10181.517217181854, 0.2430760595586467, 2.5311641601652367e-05, 3, 7, 21.99, 22.71, 0.0, 3.5553391167683412
166, 10181.517217181854, 0.2430760595586467, 2.5311641601652367e-05, 9, 9, 12.51, 13.37, 0.0, 3.1997928098544812
167, 10181.517217181854, 0.2430760595586467, 2.5311641601652367e-05, 9, 7, 23.77, 24.55, 0.0, 3.5553391167683412
168, 321.9678444251385, 0.21239702897045074, 0.00042074933428296724, 17, 6, 13.49, 14.17, 0.0, 3.555358791932845
169, 101.81517217181832, 0.21239702897045074, 0.00042074933428296724, 17, 6, 20.33, 21.43, 98.11708121906422, 90.75655774613068
170, 321.9678444251385, 1366.9171345425773, 0.00042074933428296724, 17, 6, 9.8, 9.91, 100.0, 127.73913745860335
171, 321.9678444251385, 0.21239702897045074, 0.0004501117109450305, 17, 6, 12.54, 13.29, 0.0, 3.555358791932845
172, 321.9678444251385, 0.21239702897045074, 0.00042074933428296724, 4, 6, 12.55, 13.29, 0.0, 3.555358791932845
173, 321.9678444251385, 0.21239702897045074, 0.00042074933428296724, 17, 3, 13.53, 14.32, 0.0, 3.9998256776780265
174, 321.9678444251385, 1366.9171345425773, 0.0004501117109450305, 4, 3, 9.8, 9.91, 0.0, 3.9998256776780265
175, 101.81517217181832, 0.21239702897045074, 0.0004501117109450305, 4, 3, 21.0, 21.36, 0.0, 3.9998256776780265
176, 101.81517217181832, 1366.9171345425773, 0.00042074933428296724, 4, 3, 9.8, 9.91, 0.0, 3.9998256776780265
177, 101.81517217181832, 1366.9171345425773, 0.0004501117109450305, 17, 3, 9.8, 9.91, 0.0, 3.9998256776780265
178, 101.81517217181832, 1366.9171345425773, 0.0004501117109450305, 4, 6, 9.8, 9.91, 100.0, 127.73913745860335
179, 101.81517217181832, 1366.9171345425773, 0.0004501117109450305, 4, 3, 9.8, 9.91, 0.0, 3.9998256776780265
180, 0.0321967844425138, 67.16583797993927, 1.3305262203337412e-06, 8, 13, 90.15, 90.11, 97.54848550882545, 72.06910090302317
181, 0.010181517217181822, 67.16583797993927, 1.3305262203337412e-06, 8, 13, 89.03, 89.61, 97.58662017868816, 72.76804802423865
182, 0.0321967844425138, 4.322571517865363, 1.3305262203337412e-06, 8, 13, 90.86, 91.51, 97.51548734551567, 71.51505875313941
183, 0.0321967844425138, 67.16583797993927, 1.4233782081016354e-06, 8, 13, 86.26, 87.59, 97.40979983189615, 69.97188697611413
184, 0.0321967844425138, 67.16583797993927, 1.3305262203337412e-06, 14, 13, 88.35, 89.13, 97.58148367213522, 72.64206011010056
185, 0.0321967844425138, 67.16583797993927, 1.3305262203337412e-06, 8, 10, 90.43, 90.35, 97.55626809451172, 72.15662050133723
186, 0.0321967844425138, 4.322571517865363, 1.4233782081016354e-06, 14, 10, 87.06, 87.63, 97.5965818883666, 72.79278258529608
187, 0.010181517217181822, 67.16583797993927, 1.4233782081016354e-06, 14, 10, 91.52, 91.76, 97.59237929209601, 72.78762816518439
188, 0.010181517217181822, 4.322571517865363, 1.3305262203337412e-06, 14, 10, 87.65, 88.73, 97.4849796096255, 70.91463498765125
189, 0.010181517217181822, 4.322571517865363, 1.4233782081016354e-06, 8, 10, 85.48, 85.83, 97.58708713382934, 72.77732151454221
190, 0.010181517217181822, 4.322571517865363, 1.4233782081016354e-06, 14, 13, 92.59, 92.89, 97.54054727142545, 71.83741928269924
191, 0.010181517217181822, 4.322571517865363, 1.4233782081016354e-06, 14, 10, 85.5, 86.7, 97.5959592815117, 72.8340442416427
192, 0.010181517217181822, 7.756189968580483, 0.0008640192878152558, 2, 3, 11.66, 11.85, 0.0, 3.9998256776780265
193, 0.0032196784442513784, 7.756189968580483, 0.0008640192878152558, 2, 3, 11.66, 11.85, 0.0, 3.9998256776780265
194, 0.010181517217181822, 37.43192719643771, 0.0008640192878152558, 2, 3, 11.66, 11.85, 0.0, 3.9998256776780265
195, 0.010181517217181822, 7.756189968580483, 1.6436915121153314e-07, 2, 3, 12.86, 12.63, 95.37263020265853, 62.05544286680189
196, 0.010181517217181822, 7.756189968580483, 0.0008640192878152558, 20, 3, 11.66, 11.85, 0.0, 3.9998256776780265
197, 0.010181517217181822, 7.756189968580483, 0.0008640192878152558, 2, 6, 8.3, 8.51, 97.92298353204869, 87.77825218178403
198, 0.010181517217181822, 37.43192719643771, 1.6436915121153314e-07, 20, 6, 9.8, 9.91, 100.0, 127.73913745860335
199, 0.0032196784442513784, 7.756189968580483, 1.6436915121153314e-07, 20, 6, 9.8, 9.91, 100.0, 127.73913745860335
200, 0.0032196784442513784, 37.43192719643771, 0.0008640192878152558, 20, 6, 7.87, 8.05, 97.92376179061732, 87.78499876171038
201, 0.0032196784442513784, 37.43192719643771, 1.6436915121153314e-07, 2, 6, 9.8, 9.91, 100.0, 127.73913745860335
202, 0.0032196784442513784, 37.43192719643771, 1.6436915121153314e-07, 20, 3, 9.74, 10.09, 95.1251439778352, 59.86953685583823
203, 0.0032196784442513784, 37.43192719643771, 1.6436915121153314e-07, 20, 6, 9.8, 9.91, 100.0, 127.73913745860335
204, 101.81517217181832, 2452.722626566414, 2.7322688918127743e-06, 11, 10, 9.8, 9.91, 100.0, 114.90582277915023
205, 32.19678444251381, 2452.722626566414, 2.7322688918127743e-06, 11, 10, 50.19, 51.12, 97.74196058898609, 75.4924943450545
206, 101.81517217181832, 0.11837014715034411, 2.7322688918127743e-06, 11, 10, 86.92, 87.42, 0.0, 3.19977687326227
207, 101.81517217181832, 2452.722626566414, 5.1978089489707e-05, 11, 10, 9.8, 9.91, 100.0, 114.90582277915023
208, 101.81517217181832, 2452.722626566414, 2.7322688918127743e-06, 10, 10, 9.8, 9.91, 100.0, 114.90582277915023
209, 101.81517217181832, 2452.722626566414, 2.7322688918127743e-06, 11, 13, 9.8, 9.91, 100.0, 114.8442021294424
210, 101.81517217181832, 0.11837014715034411, 5.1978089489707e-05, 10, 13, 19.62, 20.77, 98.1304672664446, 81.83421966054199
211, 32.19678444251381, 2452.722626566414, 5.1978089489707e-05, 10, 13, 9.8, 9.91, 97.8923201444448, 78.52114397457834
212, 32.19678444251381, 0.11837014715034411, 2.7322688918127743e-06, 10, 13, 9.8, 9.91, 100.0, 114.8442021294424
213, 32.19678444251381, 0.11837014715034411, 5.1978089489707e-05, 11, 13, 9.8, 9.91, 100.0, 114.8442021294424
