Exp, Mean, Var, Tau, Temp, Mixtures, Test Acc, Val Acc, Sparse, CR
0, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 56.97, 57.99, 99.66348099492576, 117.075659730527
1, 18105.58243027124, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 24.28, 23.25, 0.0, 3.5554374947685465
2, 0.05725487884358381, 0.16962590880724215, 3.9153756672351225e-06, 0, 6, 53.0, 52.82, 99.71282258817669, 118.74935740814547
3, 0.05725487884358381, 0.3043676123956402, 0.0003141017185010456, 0, 6, 9.8, 9.91, 99.98801481804314, 127.56238908951019
4, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 6, 56.97, 57.99, 99.66348099492576, 117.075659730527
5, 0.05725487884358381, 0.3043676123956402, 3.9153756672351225e-06, 0, 3, 51.58, 51.89, 0.0, 3.999925288572887
6, 0.05725487884358381, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999925288572887
7, 18105.58243027124, 0.3043676123956402, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999925288572887
8, 18105.58243027124, 0.16962590880724215, 3.9153756672351225e-06, 0, 3, 17.23, 17.7, 0.0, 3.999925288572887
9, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999925288572887
10, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 6, 9.8, 9.91, 0.0, 3.5554374947685465
11, 18105.58243027124, 0.16962590880724215, 0.0003141017185010456, 0, 3, 9.8, 9.91, 0.0, 3.999925288572887
12, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 13, 90.63, 91.03, 96.31370046384211, 58.931822872474605
13, 1.8105582430271239, 96.24949011575222, 1.23815050036645e-08, 0, 13, 97.69, 97.65, 0.0, 3.1997928098544812
14, 572.5487884358386, 53.64042220069004, 1.23815050036645e-08, 0, 13, 91.42, 91.81, 96.91965258537496, 64.76084874754297
15, 572.5487884358386, 96.24949011575222, 9.932768474363525e-07, 0, 13, 76.41, 77.26, 99.25660741524764, 95.55262228336649
16, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 13, 90.63, 91.03, 96.31370046384211, 58.931822872474605
17, 572.5487884358386, 96.24949011575222, 1.23815050036645e-08, 0, 10, 94.28, 94.03, 95.81577063163465, 54.51217054674657
18, 572.5487884358386, 53.64042220069004, 9.932768474363525e-07, 0, 10, 85.92, 86.51, 99.25645176353392, 95.45324542668772
19, 1.8105582430271239, 96.24949011575222, 9.932768474363525e-07, 0, 10, 82.48, 82.66, 98.89269370855773, 88.53884582256676
20, 1.8105582430271239, 53.64042220069004, 1.23815050036645e-08, 0, 10, 95.95, 95.93, 0.0, 3.1998406205836027
21, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 10, 88.16, 88.83, 98.83136693334994, 87.12429546128745
22, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 13, 9.8, 9.91, 100.0, 114.92637769305591
23, 1.8105582430271239, 53.64042220069004, 9.932768474363525e-07, 0, 10, 88.16, 88.83, 98.83136693334994, 87.12429546128745
36, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 95.28, 95.21, 0.0, 3.999925288572887
37, 181.0558243027123, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 93.87, 94.6, 0.0, 3.999925288572887
38, 5.725487884358383, 953.8765834528191, 2.201777541331045e-07, 0, 3, 95.98, 96.04, 0.0, 3.999925288572887
39, 5.725487884358383, 1711.5848649958707, 1.766323766264439e-05, 0, 3, 30.94, 30.9, 0.0, 3.999925288572887
40, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 3, 95.28, 95.21, 0.0, 3.999925288572887
41, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 0, 7, 9.8, 9.91, 100.0, 127.81537734617369
42, 5.725487884358383, 953.8765834528191, 1.766323766264439e-05, 0, 7, 14.85, 14.41, 0.0, 3.5554178187329613
